Font: Noto Sans JP  Style: Thin
Point Size: 64   SP/PD Ratio: 7.8%

Characters included: 3761/7151
Missing characters: 22
Excluded characters: 3368

Characters missing from font file:
----------------------------------------
ID: 27665	Hex: 6C11	Char [民]
ID: 30496	Hex: 7720	Char [眠]
ID: 22818	Hex: 5922	Char [夢]
ID: 29279	Hex: 725F	Char [牟]
ID: 30683	Hex: 77DB	Char [矛]
ID: 38695	Hex: 9727	Char [霧]
ID: 20901	Hex: 51A5	Char [冥]
ID: 21517	Hex: 540D	Char [名]
ID: 21807	Hex: 552F	Char [唯]
ID: 21191	Hex: 52C7	Char [勇]
ID: 23461	Hex: 5BA5	Char [宥]
ID: 24189	Hex: 5E7D	Char [幽]
ID: 24962	Hex: 6182	Char [憂]
ID: 26377	Hex: 6709	Char [有]
ID: 26586	Hex: 67DA	Char [柚]
ID: 28263	Hex: 6E67	Char [湧]
ID: 30001	Hex: 7531	Char [由]
ID: 37009	Hex: 9091	Char [邑]
ID: 37109	Hex: 90F5	Char [郵]
ID: 22805	Hex: 5915	Char [夕]
ID: 20104	Hex: 4E88	Char [予]
ID: 19982	Hex: 4E0E	Char [与]
ID: 37324	Hex: 91CC	Char [里]
ID: 38520	Hex: 9678	Char [陸]
ID: 29575	Hex: 7387	Char [率]
ID: 31435	Hex: 7ACB	Char [立]
ID: 21129	Hex: 5289	Char [劉]
ID: 28316	Hex: 6E9C	Char [溜]
